PLAYER_ID,FirstName,LastName,Wins,Losses,PreviousWins,PreviousLosses,PlayerWinPercent,Points,Rebounds,Assists,Steals,Blocks,MissedFieldGoals,MissedFreeThrows,TurnOvers
1627752,Taurean,Prince,37,27,9,12,0.578,7.3,2.5,0.9,0.7,0.3,3,0.2,0.8
1629611,Terance,Mann,35,39,17,24,0.473,10.8,5.5,2.6,0.7,0.2,4.5,0.5,1
1629056,Terence,Davis,11,19,33,25,0.367,10.4,3.1,1.3,0.8,0.4,5.1,0.3,1.1
203082,Terrence,Ross,14,47,37,19,0.23,10.1,2.6,1.9,0.5,0.2,5.4,0.2,1.2
1626179,Terry,Rozier,34,33,1,0,0.507,19.5,4.3,4.4,1.3,0.4,9,0.3,1.4
1630678,Terry,Taylor,7,20,29,24,0.259,9,5.3,1.2,0.3,0.2,2.2,0.5,0.6
201152,Thaddeus,Young,22,23,20,27,0.489,6.2,3.9,2,1,0.4,2.4,0.5,1.1
203648,Thanasis,Antetokounmpo,24,20,31,28,0.545,2.8,2.1,0.4,0.3,0.2,1.1,0.3,0.5
1630177,Theo,Maledon,13,35,4,6,0.271,6.4,2.4,1.9,0.6,0.2,3.7,0.4,1.2
1629033,Theo,Pinson,11,5,24,26,0.688,1.8,1.2,0.8,0.3,0.1,1.4,0,0.1
1628418,Thomas,Bryant,7,16,26,32,0.304,8.3,4,1,0.3,0.8,2.8,0.2,0.8
204025,Tim,Frazier,1,11,30,12,0.083,3.3,1.6,2.8,0.3,0.1,2.6,0.4,1.3
203501,Tim,Hardaway,24,18,29,32,0.571,14.2,3.7,2.2,0.9,0.1,7.6,0.6,0.8
1627789,Timothe,Luwawu-Cabarrot,26,20,1,1,0.565,4.1,1.4,0.7,0.3,0.1,2.1,0.1,0.4
202699,Tobias,Harris,40,25,1,1,0.615,17.5,6.9,3.4,0.6,0.6,7.3,0.5,1.6
203107,Tomas,Satoransky,18,29,1,1,0.383,3.4,2.1,2.5,0.6,0.1,2.2,0.2,0.7
1628396,Tony,Bradley,27,24,1,1,0.529,2.8,3.4,0.5,0.2,0.6,0.9,0.2,0.6
203503,Tony,Snell,18,31,1,1,0.367,3.4,2,0.5,0.3,0.2,1.9,0,0.4
1628470,Torrey,Craig,33,38,1,1,0.465,6.5,4.1,1.2,0.5,0.5,3.1,0.2,0.9
1629027,Trae,Young,35,34,1,1,0.507,28,3.8,9.6,1,0.1,10.9,0.7,4
1629309,Trayvon,Palmer,0,1,1,1,0,0,2,0,0,0,1,0,1
1630200,Tre,Jones,29,33,1,1,0.468,5.2,2.1,3,0.5,0.1,2.3,0.2,0.7
1630544,Tre,Mann,17,43,1,1,0.283,10.4,2.9,1.5,0.8,0.2,5.9,0.3,1.2
1629682,Tremont,Waters,0,3,1,1,0,3.3,1.3,2.3,1.7,0,3.4,0,1.3
1630570,Trendon,Watford,16,32,1,1,0.333,7.6,4.1,1.7,0.5,0.6,2.6,0.5,0.9
1630235,Trent,Forrest,35,23,1,1,0.603,3.3,1.7,1.7,0.5,0.1,1.3,0.1,0.8
1630243,Trevelin,Queen,1,9,1,1,0.1,4.3,1.6,0.4,0.5,0.1,1.8,0,0.7
1630286,Trevon,Scott,1,1,1,1,0.5,3,1,0,0.5,0.5,1.5,0,0
2772,Trevor,Ariza,8,14,1,1,0.364,3.8,3.2,1,0.5,0.2,2.4,0.3,0.5
203504,Trey,Burke,21,18,1,1,0.538,5.3,0.8,1.3,0.3,0,3.2,0.1,0.7
1626168,Trey,Lyles,16,53,1,1,0.232,10.3,5.1,1.2,0.4,0.4,4,0.6,1
1630530,Trey,Murphy,27,28,1,1,0.491,4.9,2.2,0.7,0.3,0.1,2.5,0.1,0.2
202684,Tristan,Thompson,17,33,1,1,0.34,6.1,5.1,0.6,0.4,0.4,2.2,1,0.9
1628972,Troy,Brown,36,25,1,1,0.59,4.2,3,0.9,0.5,0.1,2.3,0.1,0.4
1629660,Ty,Jerome,15,33,1,1,0.313,7.1,1.6,2.3,0.6,0.1,4.2,0.2,0.8
1629076,Tyler,Cook,12,7,1,1,0.632,3.4,2.7,0.2,0.2,0.2,0.7,0.5,0.4
1629788,Tyler,Hall,1,0,1,1,1,0,0,0,0,0,0,0,0
1629639,Tyler,Herro,39,22,1,1,0.639,20.8,4.8,3.9,0.7,0.1,9.5,0.5,2.6
204020,Tyler,Johnson,2,4,1,1,0.333,2.8,2,1.2,0.5,0.5,2.3,0,0.3
1630179,Tyrell,Terry,2,0,1,1,1,1,0,0,0,0,0,0,0
1630169,Tyrese,Haliburton,26,45,1,1,0.366,14.9,4,8.1,1.7,0.6,6.3,0.4,2.6
1630178,Tyrese,Maxey,40,27,1,1,0.597,17.4,3.4,4.3,0.7,0.4,7,0.4,1.1
1627820,Tyrone,Wallace,4,2,1,1,0.667,2.8,1.3,0.2,0.5,0.2,2.1,0.6,0.3
1626145,Tyus,Jones,49,20,1,1,0.71,8.4,2.4,4.4,0.9,0,4,0.2,0.6
1628962,Udoka,Azubuike,11,6,1,1,0.647,4.7,4.2,0,0.1,0.6,0.7,0.2,0.7
2617,Udonis,Haslem,9,2,1,1,0.818,2.7,1.7,0.3,0.1,0.1,1.1,0,0.4
1630586,Usman,Garuba,2,16,1,1,0.111,1.5,2.3,0.5,0.4,0.4,0.9,0,0.2
1630176,Vernon,Carey,3,2,1,1,0.6,1.6,1,0,0.2,0,0.6,0.2,0.2
203506,Victor,Oladipo,3,3,1,1,0.5,6.3,1.7,2.8,0.2,0.2,4.2,0.3,1.2
1630249,Vit,Krejci,6,17,1,1,0.261,5.1,2.8,1.3,0.5,0.2,2.2,0.1,0.7
1628427,Vlatko,Cancar,7,7,1,1,0.5,4.3,1.6,0.9,0.1,0.2,1.2,0.3,0.6
201961,Wayne,Ellington,13,27,1,1,0.325,6.3,1.7,0.7,0.6,0.1,3.1,0,0.4
1627782,Wayne,Selden,2,1,1,1,0.667,1.7,0.3,0.3,0,0,1,0.6,0
1628976,Wendell,Carter,16,46,1,1,0.258,15,10.5,2.8,0.6,0.7,5.2,1,1.9
1629117,Wenyen,Gabriel,6,12,1,1,0.333,4.6,3.4,0.4,0.3,0.3,2.4,0.6,0.5
1628411,Wes,Iwundu,2,1,1,1,0.667,7.3,4.3,0,0.3,0,3.3,0.3,0.3
202083,Wesley,Matthews,28,15,1,1,0.651,4.7,1.9,0.7,0.5,0.1,2.7,0.2,0.4
203115,Will,Barton,38,28,1,1,0.576,14.7,4.9,3.9,0.8,0.5,7.2,0.4,1.8
1626161,Willie,Cauley-Stein,12,8,1,1,0.6,1.7,2,0.5,0.3,0.2,1,0,0.4
1626195,Willy,Hernangomez,20,26,1,1,0.435,8.7,6.4,1.2,0.4,0.4,2.9,0.7,1
1629875,Xavier,Moon,3,3,1,1,0.5,5.5,1.5,1.7,0.8,0.2,3.4,0.2,0.5
1630270,Xavier,Sneed,4,2,1,1,0.667,0.8,0.7,0,0,0,0.9,0,0
1630214,Xavier,Tillman,33,15,1,1,0.688,4.6,3.1,1,0.9,0.3,2.1,0.5,0.7
1629139,Yuta,Watanabe,19,16,1,1,0.543,4.5,2.4,0.5,0.2,0.5,2.2,0.5,0.5
1630582,Yves,Pons,8,1,1,1,0.889,0.6,0.7,0,0,0,0.4,0.2,0
1628380,Zach,Collins,11,10,1,1,0.524,6.7,5,2,0.3,0.8,2.9,0.3,1.5
203897,Zach,LaVine,35,27,1,1,0.565,24.8,4.7,4.6,0.6,0.4,9.4,0.8,2.6
1630192,Zeke,Nnaji,24,16,1,1,0.6,6.6,3.6,0.4,0.4,0.3,2,0.6,0.6
1630533,Ziaire,Williams,38,18,1,1,0.679,7.5,2.1,1,0.5,0.2,3.5,0.2,0.7
1629597,Zylan,Cheatham,0,1,1,1,0,0,0,0,0,0,3,0,0
